- PlayerAvatar(Clone) | Active: True | Renderer: False | Pos: (0.00, 0.00, 0.00), Rot : (0.00, 0.00, 0.00), Scale : (1.00, 1.00, 1.00) | Mesh: N/A
                                    - Health Grab Target | Active: False | Renderer: False | Pos: (0.00, 0.04, -0.21), Rot : (0.00, 0.00, 0.00), Scale : (1.00, 1.00, 1.00) | Mesh: N/A
                                - mesh_head_bot_sphere | Active: False | Renderer: True | Pos: (0.00, 0.00, 0.00), Rot : (0.00, 0.00, 0.00), Scale : (1.00, 1.00, 1.00) | Mesh: head_bot_sphere
                                - mesh_head_bot_flat | Active: False | Renderer: True | Pos: (0.00, 0.00, 0.00), Rot : (0.00, 0.00, 0.00), Scale : (1.00, 1.00, 1.00) | Mesh: head_bot_flat
                                - _____________________________________ | Active: False | Renderer: False | Pos: (0.00, 0.12, -0.25), Rot : (0.00, 0.00, 0.00), Scale : (1.00, 1.00, 1.00) | Mesh: N/A
                                  - ANIM HEAD TOP | Active: False | Renderer: False | Pos: (0.00, 0.00, 0.00), Rot : (0.00, 0.00, 0.00), Scale : (1.00, 1.00, 1.00) | Mesh: N/A
                                    - code_head_top | Active: False | Renderer: False | Pos: (0.00, 0.00, 0.00), Rot : (0.00, 0.00, 0.00), Scale : (1.00, 1.00, 1.00) | Mesh: N/A
                                      - >> Attach Point - Jaw Top | Active: False | Renderer: False | Pos: (0.00, 0.00, 0.25), Rot : (0.00, 0.00, 0.00), Scale : (1.00, 1.00, 1.00) | Mesh: N/A
                                      - mesh_head_top | Active: False | Renderer: True | Pos: (0.00, 0.00, 0.00), Rot : (0.00, 0.00, 0.00), Scale : (1.00, 1.00, 1.00) | Mesh: head_top
                                      - >> Attach Point - Top Head Middle | Active: False | Renderer: False | Pos: (0.00, 0.16, 0.25), Rot : (0.00, 0.00, 0.00), Scale : (1.00, 1.00, 1.00) | Mesh: N/A
                                      - ArenaCrown | Active: False | Renderer: True | Pos: (0.00, 0.35, 0.26), Rot : (0.00, 180.00, 0.00), Scale : (0.32, 0.32, 0.32) | Mesh: Crown
                                      - _____________________________________ | Active: False | Renderer: False | Pos: (-0.12, 0.12, 0.42), Rot : (0.00, 0.00, 0.00), Scale : (1.00, 1.00, 1.00) | Mesh: N/A
                                        - ANIM EYE LEFT | Active: False | Renderer: False | Pos: (0.00, 0.00, 0.00), Rot : (0.00, 0.00, 0.00), Scale : (1.00, 1.00, 1.00) | Mesh: N/A
                                          - code_eye_left | Active: False | Renderer: False | Pos: (0.00, 0.00, 0.00), Rot : (0.00, 0.00, 0.00), Scale : (1.00, 1.00, 1.00) | Mesh: N/A
                                            - mesh_eye_l | Active: False | Renderer: True | Pos: (0.00, 0.00, 0.00), Rot : (0.00, 0.00, 0.00), Scale : (1.00, 1.00, 1.00) | Mesh: eye_L
                                            - ANIM PUPIL LEFT | Active: False | Renderer: False | Pos: (0.00, 0.00, 0.11), Rot : (0.00, 0.00, 0.00), Scale : (1.00, 1.00, 1.00) | Mesh: N/A
                                              - mesh_pupil_l | Active: False | Renderer: True | Pos: (0.00, 0.00, -0.11), Rot : (0.00, 0.00, 0.00), Scale : (1.00, 1.00, 1.00) | Mesh: iris_L
                                      - _____________________________________ | Active: False | Renderer: False | Pos: (0.12, 0.12, 0.42), Rot : (0.00, 0.00, 0.00), Scale : (1.00, 1.00, 1.00) | Mesh: N/A
                                        - ANIM EYE RIGHT | Active: False | Renderer: False | Pos: (0.00, 0.00, 0.00), Rot : (0.00, 0.00, 0.00), Scale : (1.00, 1.00, 1.00) | Mesh: N/A
                                          - code_eye_right | Active: False | Renderer: False | Pos: (0.00, 0.00, 0.00), Rot : (0.00, 0.00, 0.00), Scale : (1.00, 1.00, 1.00) | Mesh: N/A
                                            - mesh_eye_r | Active: False | Renderer: True | Pos: (0.00, 0.00, 0.00), Rot : (0.00, 0.00, 0.00), Scale : (1.00, 1.00, 1.00) | Mesh: eye_R
                                            - ANIM PUPIL RIGHT | Active: False | Renderer: False | Pos: (0.00, 0.00, 0.11), Rot : (0.00, 0.00, 0.00), Scale : (1.00, 1.00, 1.00) | Mesh: N/A
                                              - mesh_pupil_r | Active: False | Renderer: True | Pos: (0.00, 0.00, -0.11), Rot : (0.00, 0.00, 0.00), Scale : (1.00, 1.00, 1.00) | Mesh: iris_R
                                      - Eye Target Lead | Active: False | Renderer: False | Pos: (0.00, 0.00, 0.00), Rot : (0.00, 0.00, 0.00), Scale : (1.00, 1.00, 1.00) | Mesh: N/A
                                        - Eye Target Idle | Active: False | Renderer: False | Pos: (0.00, 0.12, 2.00), Rot : (0.00, 0.00, 0.00), Scale : (1.00, 1.00, 1.00) | Mesh: N/A
                                    - Eye Light | Active: False | Renderer: False | Pos: (0.00, 0.11, 0.63), Rot : (0.00, 0.00, 0.00), Scale : (1.00, 1.00, 1.00) | Mesh: N/A
                            - TTS Position | Active: False | Renderer: False | Pos: (0.00, -0.02, 0.30), Rot : (0.00, 0.00, 0.00), Scale : (1.00, 1.00, 1.00) | Mesh: N/A
    - Powerup Jump Effect | Active: True | Renderer: False | Pos: (0.00, 0.00, 0.00), Rot : (0.00, 0.00, 0.00), Scale : (1.00, 1.00, 1.00) | Mesh: N/A
      - Particle Impact | Active: True | Renderer: False | Pos: (0.00, 0.00, 0.00), Rot : (0.00, 0.00, 0.00), Scale : (1.00, 1.00, 1.00) | Mesh: N/A
      - Particle Swirl | Active: True | Renderer: False | Pos: (0.00, 0.00, 0.00), Rot : (0.00, 0.00, 0.00), Scale : (1.00, 1.00, 1.00) | Mesh: N/A
      - Particle Smoke | Active: True | Renderer: False | Pos: (0.00, 0.00, 0.00), Rot : (0.00, 0.00, 0.00), Scale : (1.00, 1.00, 1.00) | Mesh: N/A
    - Tumble Break Free Effect | Active: True | Renderer: False | Pos: (0.00, 0.00, 0.00), Rot : (0.00, 0.00, 0.00), Scale : (1.00, 1.00, 1.00) | Mesh: N/A
      - Particle Impact | Active: True | Renderer: False | Pos: (0.00, 0.00, 0.00), Rot : (0.00, 0.00, 0.00), Scale : (1.00, 1.00, 1.00) | Mesh: N/A
      - Particle Swirl | Active: True | Renderer: False | Pos: (0.00, 0.00, 0.00), Rot : (0.00, 0.00, 0.00), Scale : (1.00, 1.00, 1.00) | Mesh: N/A
      - Particle Smoke | Active: True | Renderer: False | Pos: (0.00, 0.00, 0.00), Rot : (0.00, 0.00, 0.00), Scale : (1.00, 1.00, 1.00) | Mesh: N/A
    - Get Into Truck Effect | Active: False | Renderer: False | Pos: (0.00, 0.95, 0.00), Rot : (0.00, 0.00, 0.00), Scale : (1.00, 1.00, 1.00) | Mesh: N/A
      - Point Light | Active: False | Renderer: False | Pos: (0.00, 0.00, 0.00), Rot : (0.00, 0.00, 0.00), Scale : (1.00, 1.00, 1.00) | Mesh: N/A
      - Particle Impact | Active: False | Renderer: False | Pos: (0.00, 0.00, 0.00), Rot : (0.00, 0.00, 0.00), Scale : (1.00, 1.00, 1.00) | Mesh: N/A
      - Particle Swirl | Active: False | Renderer: False | Pos: (0.00, 0.00, 0.00), Rot : (0.00, 0.00, 0.00), Scale : (1.00, 1.00, 1.00) | Mesh: N/A
      - Particle Smoke | Active: False | Renderer: False | Pos: (0.00, 0.00, 0.00), Rot : (0.00, 0.00, 0.00), Scale : (1.00, 1.00, 1.00) | Mesh: N/A
  - Player Avatar Controller | Active: True | Renderer: False | Pos: (-0.34, 0.70, -19.58), Rot : (0.00, 358.31, 0.00), Scale : (1.00, 1.00, 1.00) | Mesh: N/A
    - Grabber Audio | Active: True | Renderer: False | Pos: (0.26, 0.93, 0.11), Rot : (75.00, 90.00, 0.00), Scale : (1.00, 1.00, 1.00) | Mesh: N/A
    - Room | Active: True | Renderer: False | Pos: (0.00, 1.00, 0.00), Rot : (0.00, 0.00, 0.00), Scale : (0.50, 0.50, 0.50) | Mesh: N/A
    - Vision Target | Active: True | Renderer: False | Pos: (0.00, 1.50, 0.00), Rot : (350.07, 359.96, 0.02), Scale : (1.00, 1.00, 1.00) | Mesh: N/A
      - Spectate Point | Active: True | Renderer: False | Pos: (0.00, 0.00, 0.00), Rot : (0.00, 0.00, 0.00), Scale : (1.00, 1.00, 1.00) | Mesh: N/A
    - Collision | Active: True | Renderer: False | Pos: (0.00, 0.00, 0.00), Rot : (0.00, 0.00, 0.00), Scale : (1.00, 1.00, 1.00) | Mesh: N/A
    - Trigger | Active: True | Renderer: False | Pos: (0.00, 0.00, 0.00), Rot : (0.00, 0.00, 0.00), Scale : (0.70, 1.80, 0.70) | Mesh: N/A
    - Phys Object Stander | Active: True | Renderer: False | Pos: (0.00, 0.10, 0.00), Rot : (0.00, 0.00, 0.00), Scale : (1.00, 1.00, 1.00) | Mesh: N/A
  - Local Camera | Active: True | Renderer: False | Pos: (-0.34, 2.21, -19.58), Rot : (350.06, 358.27, 0.02), Scale : (1.00, 1.00, 1.00) | Mesh: N/A
    - Phys Beam Origin | Active: True | Renderer: False | Pos: (0.26, -0.59, 0.00), Rot : (0.00, 0.00, 0.00), Scale : (1.00, 1.00, 1.00) | Mesh: N/A
    - Map Tool Target | Active: True | Renderer: False | Pos: (0.00, -0.36, 0.40), Rot : (285.00, 0.00, 0.00), Scale : (1.00, 1.00, 1.00) | Mesh: N/A
      - Map Tool | Active: True | Renderer: False | Pos: (0.00, 0.00, 0.00), Rot : (0.00, 0.00, 0.00), Scale : (0.00, 0.00, 0.00) | Mesh: N/A
        - Controller | Active: True | Renderer: False | Pos: (0.00, 0.00, 0.00), Rot : (0.00, 0.00, 0.00), Scale : (1.00, 1.00, 1.00) | Mesh: N/A
        - Visuals | Active: False | Renderer: False | Pos: (0.00, 0.00, 0.00), Rot : (0.00, 0.00, 0.00), Scale : (1.00, 1.00, 1.00) | Mesh: N/A
          - Hide | Active: False | Renderer: False | Pos: (0.00, 0.00, 0.00), Rot : (0.00, 0.00, 0.00), Scale : (1.00, 1.00, 1.00) | Mesh: N/A
            - Main Spring Target | Active: False | Renderer: False | Pos: (0.00, 0.00, 0.00), Rot : (0.00, 0.00, 0.00), Scale : (1.00, 1.00, 1.00) | Mesh: N/A
            - Main Spring | Active: False | Renderer: False | Pos: (0.00, 0.00, 0.00), Rot : (0.00, 0.00, 0.00), Scale : (1.00, 1.00, 1.00) | Mesh: N/A
              - Base Offset | Active: False | Renderer: False | Pos: (0.00, -0.04, -0.44), Rot : (90.00, 0.00, 0.00), Scale : (1.00, 1.00, 1.00) | Mesh: N/A
                - Bob | Active: False | Renderer: False | Pos: (0.00, 0.00, 0.00), Rot : (0.00, 0.00, 0.00), Scale : (1.00, 1.00, 1.00) | Mesh: N/A
                  - Stick | Active: False | Renderer: False | Pos: (0.00, 0.00, 0.00), Rot : (270.00, 0.00, 0.00), Scale : (1.00, 1.00, 1.00) | Mesh: N/A
                    - stick | Active: False | Renderer: True | Pos: (0.00, 0.00, 0.00), Rot : (0.00, 0.00, 0.00), Scale : (1.00, 1.00, 1.00) | Mesh: stick
                  - Main Unit | Active: False | Renderer: False | Pos: (0.00, 0.66, -0.16), Rot : (270.00, 0.00, 0.00), Scale : (1.00, 1.00, 1.00) | Mesh: N/A
                    - Display Spring Target | Active: False | Renderer: False | Pos: (0.00, 0.00, 0.00), Rot : (0.00, 0.00, 0.00), Scale : (1.00, 1.00, 1.00) | Mesh: N/A
                    - Display Spring | Active: False | Renderer: False | Pos: (0.00, 0.00, 0.00), Rot : (359.99, 0.01, 0.05), Scale : (1.00, 1.00, 1.00) | Mesh: N/A
                      - Counter | Active: False | Renderer: False | Pos: (0.00, 0.02, 0.04), Rot : (90.00, 0.00, 0.00), Scale : (1.00, 1.00, 1.00) | Mesh: N/A
                        - Hatch Light | Active: False | Renderer: False | Pos: (0.00, 0.00, -0.02), Rot : (270.00, 180.00, 0.00), Scale : (1.00, 1.00, 1.00) | Mesh: N/A
                        - Hatch Mesh | Active: False | Renderer: True | Pos: (0.00, -0.05, 0.02), Rot : (270.00, 180.00, 0.00), Scale : (1.00, 1.00, 1.00) | Mesh: hatchet
                        - counter back L | Active: False | Renderer: True | Pos: (0.00, 0.00, 0.00), Rot : (270.00, 180.00, 0.00), Scale : (1.00, 1.00, 1.00) | Mesh: counter back L
                        - Icon | Active: False | Renderer: True | Pos: (0.00, 0.00, 0.00), Rot : (270.00, 180.00, 0.00), Scale : (0.78, 0.87, 0.87) | Mesh: counter back L
                        - counter back R | Active: False | Renderer: True | Pos: (0.00, 0.00, 0.00), Rot : (270.00, 180.00, 0.00), Scale : (1.00, 1.00, 1.00) | Mesh: counter back R
                        - Number | Active: False | Renderer: True | Pos: (0.01, 0.00, 0.00), Rot : (0.00, 0.00, 0.00), Scale : (1.00, 1.00, 1.00) | Mesh: N/A
                      - Light | Active: False | Renderer: False | Pos: (0.00, 0.17, 0.16), Rot : (0.00, 0.00, 0.00), Scale : (1.00, 1.00, 1.00) | Mesh: N/A
                      - LED - L | Active: False | Renderer: True | Pos: (-0.01, 0.00, 0.00), Rot : (0.00, 0.00, 180.00), Scale : (1.00, 1.00, 1.00) | Mesh: led01
                      - LED - R | Active: False | Renderer: True | Pos: (0.01, 0.00, 0.00), Rot : (0.00, 0.00, 180.00), Scale : (1.00, 1.00, 1.00) | Mesh: led02
                      - main unit_1x1 | Active: False | Renderer: True | Pos: (0.00, 0.00, 0.00), Rot : (0.00, 0.00, 180.00), Scale : (1.00, 1.00, 1.00) | Mesh: main unit
                      - display_1x1 | Active: False | Renderer: True | Pos: (0.00, 0.00, 0.00), Rot : (0.00, 0.00, 180.00), Scale : (1.00, 1.00, 1.00) | Mesh: display
                      - Player Look Target | Active: False | Renderer: False | Pos: (0.00, -0.30, 0.16), Rot : (0.00, 0.00, 180.00), Scale : (1.00, 1.00, 1.00) | Mesh: N/A
    - Flashlight Target | Active: True | Renderer: False | Pos: (-0.21, -0.16, 0.16), Rot : (0.00, 0.00, 80.00), Scale : (1.00, 1.00, 1.00) | Mesh: N/A
      - Flashlight | Active: True | Renderer: False | Pos: (0.00, 0.00, 0.00), Rot : (0.00, 0.00, 0.00), Scale : (1.00, 1.00, 1.00) | Mesh: N/A
        - Back Away Offset | Active: True | Renderer: False | Pos: (0.00, 0.00, -0.04), Rot : (0.00, 0.00, 0.00), Scale : (1.00, 1.00, 1.00) | Mesh: N/A
          - Back Away | Active: True | Renderer: False | Pos: (0.00, 0.00, 0.04), Rot : (0.00, 0.00, 0.00), Scale : (1.00, 1.00, 1.00) | Mesh: N/A
            - Flashlight Sprint | Active: True | Renderer: False | Pos: (0.00, 0.00, 0.00), Rot : (0.00, 0.00, 0.00), Scale : (1.00, 1.00, 1.00) | Mesh: N/A
              - Flashlight Hide | Active: True | Renderer: False | Pos: (0.00, 0.00, 0.00), Rot : (0.00, 0.00, 0.00), Scale : (1.00, 1.00, 1.00) | Mesh: N/A
                - Flashlight Click | Active: True | Renderer: False | Pos: (0.00, 0.00, 0.00), Rot : (0.00, 0.00, 0.00), Scale : (1.00, 1.00, 1.00) | Mesh: N/A
                  - Flashlight Bob | Active: True | Renderer: False | Pos: (0.00, 0.00, 0.00), Rot : (0.00, 0.00, 0.00), Scale : (1.00, 1.00, 1.00) | Mesh: N/A
                    - Flashlight Noise | Active: True | Renderer: False | Pos: (0.00, 0.00, 0.00), Rot : (0.26, 359.93, 0.83), Scale : (1.00, 1.00, 1.00) | Mesh: N/A
                      - Flashlight Tilt | Active: True | Renderer: False | Pos: (0.00, 0.00, 0.00), Rot : (0.04, 0.01, 279.19), Scale : (1.00, 1.00, 1.00) | Mesh: N/A
                        - Mesh | Active: True | Renderer: True | Pos: (0.00, 0.00, 0.02), Rot : (0.00, 0.00, 90.00), Scale : (59.34, 59.34, 39.23) | Mesh: Flashlight
